ID,N,p,mu,f,g,h
119,2000,2,"@(x,y) 0.1",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
120,2000,2,"@(x,y) 1",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
121,2000,2,"@(x,y) 1",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
122,2000,2,"@(x,y) 1",-3.*x,"@(x,y) x.^3/2 + y",0
123,2000,2,"@(x,y) 1",-2*exp(x + y),"@(x,y) exp(x+y)",0
124,2000,2,"@(x,y) 1",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
125,2000,2,"@(x,y) 1",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
126,2000,2,"@(x,y) 1",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
127,2000,2,"@(x,y) 10",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
128,2000,2,"@(x,y) 10",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
129,2000,2,"@(x,y) 10",-3.*x,"@(x,y) x.^3/2 + y",0
130,2000,2,"@(x,y) 10",-2*exp(x + y),"@(x,y) exp(x+y)",0
131,2000,2,"@(x,y) 10",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
132,2000,2,"@(x,y) 10",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
133,2000,2,"@(x,y) 10",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
134,2000,2,"@(x,y) 100",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
135,2000,2,"@(x,y) 100",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
136,2000,2,"@(x,y) 100",-3.*x,"@(x,y) x.^3/2 + y",0
137,2000,2,"@(x,y) 100",-2*exp(x + y),"@(x,y) exp(x+y)",0
138,2000,2,"@(x,y) 100",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
139,2000,2,"@(x,y) 100",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
140,2000,2,"@(x,y) 100",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
141,2000,3,"@(x,y) 0.1",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
142,2000,3,"@(x,y) 0.1",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
143,2000,3,"@(x,y) 0.1",-3.*x,"@(x,y) x.^3/2 + y",0
144,2000,3,"@(x,y) 0.1",-2*exp(x + y),"@(x,y) exp(x+y)",0
145,2000,3,"@(x,y) 0.1",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
146,2000,3,"@(x,y) 0.1",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
147,2000,3,"@(x,y) 0.1",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
148,2000,3,"@(x,y) 1",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
149,2000,3,"@(x,y) 1",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
150,2000,3,"@(x,y) 1",-3.*x,"@(x,y) x.^3/2 + y",0
151,2000,3,"@(x,y) 1",-2*exp(x + y),"@(x,y) exp(x+y)",0
152,2000,3,"@(x,y) 1",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
153,2000,3,"@(x,y) 1",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
154,2000,3,"@(x,y) 1",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
155,2000,3,"@(x,y) 10",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
156,2000,3,"@(x,y) 10",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
157,2000,3,"@(x,y) 10",-3.*x,"@(x,y) x.^3/2 + y",0
158,2000,3,"@(x,y) 10",-2*exp(x + y),"@(x,y) exp(x+y)",0
159,2000,3,"@(x,y) 10",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
160,2000,3,"@(x,y) 10",(pi^2)*x.^2.*sin(pi*x.*y) + y.^2*pi^2.*sin(pi*x.*y),"@(x,y) sin(10*pi*x.*y)",0
161,2000,3,"@(x,y) 10",(- 3./(4*(x.^2 + y).^(1/2)) - 3*(x.^2 + y).^(1/2) - (3*x.^2)./(x.^2 + y).^(1/2)),"@(x,y) (x.^2+y).^1.5",0
162,2000,3,"@(x,y) 100",12*x.^2+12*y.^2,"@(x,y) -x.^4 - y.^4",0
163,2000,3,"@(x,y) 100",18*pi^2*cos(3*pi*y).*sin(3*pi*x),"@(x,y) sin(3*pi*x).*cos(3*pi*y)",0
164,2000,3,"@(x,y) 100",-3.*x,"@(x,y) x.^3/2 + y",0
165,2000,3,"@(x,y) 100",-2*exp(x + y),"@(x,y) exp(x+y)",0
166,2000,3,"@(x,y) 100",x.^2.*exp(y).*sin(x.*y) - 2*x.*exp(y).*cos(x.*y) - exp(y).*sin(x.*y) + y.^2.*exp(y).*sin(x.*y),"@(x,y) sin(x.*y).*exp(y)",0
